0.05 0.98471 -0.123525 19.1854 -4.89884	.05 0.0995017 1.9801
0.1 1.89906 -0.483217 17.2041 -9.39865	0.1 0.198013 1.9604
0.15 2.68806 -1.05222 14.2013 -13.2299	0.15 0.295545 1.94089
0.2 3.30556 -1.79131 10.3823 -16.1695	0.2 0.392106 1.92158
0.25 3.71687 -2.65155 5.99888 -18.054	0.25 0.487706 1.90246
0.3 3.90072 -3.5775 1.33236 -18.7881	0.3 0.582355 1.88353
0.35 3.85028 -4.51077 -3.32391 -18.3492	0.35 0.676062 1.86479
0.4 3.5733 -5.39368 -7.68304 -16.7877	0.4 0.768837 1.84623
0.45 3.09133 -6.17278 -11.4821 -14.2221	0.45 0.860688 1.82786
0.5 2.43816 -6.80209 -14.4981 -10.8304	0.5 0.951626 1.80967
0.55 1.65745 -7.24579 -16.5604 -6.8381	0.55 1.04166 1.79167
0.6 0.799857 -7.48018 -17.5609 -2.50325	0.6 1.1308 1.77384
0.65 -0.0802229 -7.49497 -17.4588 1.90011	0.65 1.21905 1.75619
0.7 -0.928081 -7.29359 -16.2823 6.09912	0.7 1.30642 1.73872
0.75 -1.69208 -6.89273 -14.1252 9.83894	0.75 1.39292 1.72142
0.8 -2.32678 -6.32107 -11.14 12.8981	0.8 1.47856 1.70429
0.85 -2.7956 -5.61722 -7.52697 15.1014	0.85 1.56335 1.68733
0.9 -3.07292 -4.8272 -3.52143 16.33	0.9 1.6473 1.67054
0.95 -3.14544 -4.00144 0.621903 16.5275	0.95 1.73041 1.65392
1 -3.01274 -3.19154 4.64485 15.702	1 1.81269 1.63746
1.05 -2.68707 -2.44713 8.30176 13.9248	1.05 1.89416 1.62117
1.1 -2.19233 -1.81281 11.3744 11.3242	1.1 1.97481 1.60504
1.15 -1.56236 -1.32551 13.6849 8.0769	1.15 2.05466 1.58907
1.2 -0.838691 -1.01236 15.1059 4.39593	1.2 2.13372 1.57326
1.25 -0.0677926 -0.889224 15.5674 0.516808	1.25 2.21199 1.5576
1.3 0.70187 -0.959927 15.06 -3.31736	1.3 2.28948 1.5421
1.35 1.42287 -1.21627 13.6341 -6.87108	1.35 2.36621 1.52676
1.4 2.05171 -1.63878 11.3957 -9.93079	1.4 2.44216 1.51157
1.45 2.55145 -2.19811 8.49915 -12.3176	1.45 2.51736 1.49653
1.5 2.89383 -2.85707 5.13588 -13.8977	1.5 2.59182 1.48164
1.55 3.06086 -3.57305 1.52256 -14.5897	1.55 2.66553 1.46689
1.6 3.04572 -4.30079 -2.11308 -14.3684	1.6 2.73851 1.4523
1.65 2.85294 -4.99517 -5.54646 -13.2656	1.65 2.81076 1.43785
1.7 2.49792 -5.61406 -8.56988 -11.3668	1.7 2.8823 1.42354
1.75 2.00578 -6.12078 -11.005 -8.80472	1.75 2.95312 1.40938
1.8 1.40956 -6.48631 -12.7135 -5.75052	1.8 3.02324 1.39535
1.85 0.748085 -6.69092 -13.6042 -2.40224	1.85 3.09266 1.38147
1.9 0.0634373 -6.72517 -13.6386 1.02785	1.9 3.16139 1.36772
1.95 -0.601715 -6.59033 -12.8313 4.32664	1.95 3.22943 1.35411
2 -1.20675 -6.29806 -11.2489 7.29336	2 3.2968 1.34064
2.05 -1.71555 -5.86949 -9.00433 9.75165	2.05 3.3635 1.3273
2.1 -2.09865 -5.33375 -6.24901 11.56	2.1 3.42953 1.31409
2.15 -2.33493 -4.72599 -3.16296 12.6198	2.15 3.49491 1.30102
2.2 -2.41272 -4.08511 0.0569935 12.8806	2.2 3.55964 1.28807
2.25 -2.33036 -3.45128 3.20968 12.342	2.25 3.62372 1.27526
2.3 -2.0961 -2.86344 6.10204 11.0532	2.3 3.68716 1.26257
2.35 -1.72739 -2.35692 8.5609 9.10836	2.35 3.74998 1.25
2.4 -1.24964 -1.96134 10.4433 6.64046	2.4 3.81217 1.23757
2.45 -0.694447 -1.69889 11.6444 3.81201	2.45 3.87374 1.22525
2.5 -0.097583 -1.58312 12.1039 0.80454	2.5 3.93469 1.21306
2.55 0.503328 -1.61827 11.808 -2.19299	2.55 3.99504 1.20099
2.6 1.07116 -1.79917 10.7899 -4.99595	2.6 4.05479 1.18904
2.65 1.57155 -2.11179 9.12675 -7.43538	2.65 4.11395 1.17721
2.7 1.97498 -2.53424 6.93379 -9.36807	2.7 4.17252 1.1655
2.75 2.25851 -3.03831 4.35675 -10.6849	2.75 4.2305 1.1539
2.8 2.40703 -3.59129 1.56213 -11.3169	2.8 4.28791 1.14242
2.85 2.41404 -4.15813 -1.27348 -11.2386	2.85 4.34475 1.13105
2.9 2.28193 -4.70361 -3.97442 -10.4689	2.9 4.40102 1.1198
2.95 2.02159 -5.1945 -6.37683 -9.06905	2.95 4.45673 1.10865
3 1.65161 -5.60164 -8.3385 -7.13772	3 4.51188 1.09762
3.05 1.19698 -5.90156 -9.74722 -4.80457	3.05 4.56649 1.0867
3.1 0.687392 -6.07792 -10.5271 -2.22138	3.1 4.62056 1.07589
