0.4 3.5733 -5.39368 -7.68304 -16.7877
0.8 -2.32677 -6.32107 -11.14 12.8981
1.2 -0.838691 -1.01236 15.1059 4.39593
1.6 3.04572 -4.30079 -2.11308 -14.3684
2 -1.20675 -6.29806 -11.2489 7.29336
2.4 -1.24964 -1.96134 10.4433 6.64046
2.8 2.40703 -3.59129 1.56213 -11.3169
3.2 -0.365854 -6.0345 -10.0993 3.03617
3.6 -1.35145 -2.76842 6.4282 7.31091
4 1.76868 -3.1958 3.66728 -8.20425
4.4 0.211343 -5.65061 -8.29534 0.0734067
4.8 -1.25095 -3.40038 3.24828 6.9348
5.2 1.19961 -3.03738 4.57315 -5.39059
5.6 0.562921 -5.2338 -6.28157 -1.76784
6 -1.03613 -3.85561 0.92917 5.9518
6.4 0.734978 -3.04282 4.63892 -3.06633
6.8 0.736852 -4.8417 -4.35588 -2.71592
7.2 -0.773831 -4.15223 -0.606388 4.6996
7.6 0.385234 -3.14904 4.17773 -1.29636
8 0.78204 -4.50732 -2.69303 -3.00873
8.4 -0.510517 -4.31861 -1.49096 3.41631
8.8 0.144423 -3.30615 3.44036 -0.0608845
9.2 0.742675 -4.24484 -1.37273 -2.86441
9.6 -0.275067 -4.38641 -1.87701 2.25262
10 -0.00292983 -3.47774 2.61188 0.710198
